#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
building_alchemist_guild;Building Alchemists' Guild;Construire une Guilde des Alchimistes;;;Construyendo un Gremio de Alquimistas;;;;;;;;;x
EVTDESCwildfire.117E;The most ancient scrolls of the stores speak of powerful elixirs that the alchemists could once make. You decided to try and solve the missing pieces these arcane methods, and experimented with distilling elixirs from the substance. Your tests proved successful, it seems you have re-discovered the elixirs of healing!;;;;Los rollos más antiguos de los almacenes hablan de poderosos elixires que los alquimistas podían hacer una vez. Decidir intentar resolver las piezas que faltaban con estos métodos arcanos, y experimentar con la destilación de los elíxires de la sustancia. Tus pruebas fueron exitosas, parece que has redescubierto los elixires de curación!;;;;;;;;;x
EVTDESCwildfire.117F;The most ancient scrolls of the stores speak of powerful elixirs that the alchemists have recently re-discovered. You decided to try and learn these arcane methods for yourself, and experimented with distilling elixirs from the substance. Your tests proved successful, it seems you have learnt the elixirs of healing!;;;;Los rollos más antiguos de los almacenes hablan de poderosos elixires que los alquimistas han redescubierto recientemente. Decidiste probar y aprender estos métodos arcanos y experimentaste destilando elixires de la sustancia. Sus pruebas demostraron ser exitosas, ¡parece que han aprendido los elixires de curación!;;;;;;;;;x
EVTOPTAwildfire.117A;Our powers of magic are on the rise!;;;;¡Nuestros poderes sobre la magia van en aumento!;;;;;;;;;x
EVTOPTAwildfire.117B;I shall be rich!;;;;¡Seré rico!;;;;;;;;;x
EVTOPTAwildfire.117C;All will want this power;;;;Todos querrán este poder;;;;;;;;;x
TOOLTIPwildfire.117FLAMECREATURES;You obtain the power to wield §YFlame Creatures§! in battle;;;;¡Obtienes el poder de manejar §YCriaturas de llamas§! En batalla!;;;;;;;;;x
TOOLTIPwildfire.117TRANSMUTATION;You obtain the power to §YTransmutate§! Metals;;;;¡Obtiene el poder de §YTransmutar§! Metales!;;;;;;;;;x
TOOLTIPwildfire.117ELIXIRS;You obtain the power to create powerful §YElixirs§!;;;;!Obtiene el poder de crear poderosos §YElixires§!;;;;;;;;;x
EVTDESCwildfire.118;We've had reports from [From.Location.GetName] that the Guild of Alchemists has rediscovered one of their ancient powers. [From.GetTitledFirstNameWithDynastyNoRegnal] claims to have the power to create and wield flame creatures!;;;;Hemos recibido informes de [From.Location.GetName] de que el Gremio de Alquimistas ha redescubierto uno de sus antiguos poderes. [From.GetTitledFirstNameWithDynastyNoRegnal] afirma tener el poder de crear y manejar criaturas de llamas!;;;;;;;;;x
EVTOPTAwildfire.118A;This could make the Guild powerful!;;;;¡Esto podría hacer que el Gremio sea poderoso!;;;;;;;;;x
EVTOPTAwildfire.118B;That sounds fanciful;;;;Eso suena fantasioso;;;;;;;;;x
EVTDESCwildfire.119;We've had reports from [From.Location.GetName] that the Guild of Alchemists has rediscovered one of their ancient powers. [From.GetTitledFirstNameWithDynastyNoRegnal] claims to have the power to transmutate materials, such as iron, into any valuable metal!;;;;Hemos recibido informes de [From.Location.GetName] de que el Gremio de Alquimistas ha redescubierto uno de sus antiguos poderes. [From.GetTitledFirstNameWithDynastyNoRegnal] afirma tener la capacidad de transmutar materiales, como el hierro, en cualquier metal valioso!;;;;;;;;;x
EVTOPTAwildfire.119A;This could make the Guild rich!;;;;¡Esto podría enriquecer al Gremio!;;;;;;;;;x
EVTOPTAwildfire.119B;I don't believe it;;;;No lo creo;;;;;;;;;x
EVTDESCwildfire.120;We've had reports from [From.Location.GetName] that the Guild of Alchemists has rediscovered one of their ancient powers. [From.GetTitledFirstNameWithDynastyNoRegnal] claims to have the power to create elixirs of healing and youth!;;;;Hemos recibido informes de [From.Location.GetName] de que el Gremio de Alquimistas ha redescubierto uno de sus antiguos poderes. [From.GetTitledFirstNameWithDynastyNoRegnal] afirma tener el poder de crear elixires de sanación y juventud!;;;;;;;;;x
EVTOPTAwildfire.120A;A valuable asset for the guild!;;;;¡Un activo valioso para el gremio!;;;;;;;;;x
EVTOPTAwildfire.120B;A false hope;;;;Solo da falsa esperanza;;;;;;;;;x
transmutate_metals;Transmutate Metals;;;;Transmutar metales;;;;;;;;;x
transmutate_metals_desc;Use the recent discovery of transmutation to make valuable metals;;;;Use el reciente descubrimiento de la transmutación para hacer metales valiosos;;;;;;;;;x
TOOLTIPalchemist_transmutation;Has learned the power of §YTransmutation§!;;;;¡Ha aprendido el poder de §YTransmutar§!;;;;;;;;;x
TOOLTIPalchemist_transmutationCOURTIER;An alchemist at court has learned the power of §YTransmutation§!;;;;¡Un alquimista en la corte ha aprendido el poder de §YTransmutar§!;;;;;;;;;x
transmutated_metals;Transmutated Metals;;;;Transmutar metales;;;;;;;;;x
TOOLTIPwildfire.130;You select a metal to create;;;;Usted selecciona un metal para crear;;;;;;;;;x
EVTDESCwildfire.130;[alchemist_transmutater.GetSocietyRank] [alchemist_transmutater.GetFirstName] has prepared the neccesary materials and equipment to begin the transmutation process. The wildfire is ready, and a quantity of low quality iron obtained.;;;;[alchemist_transmutater.GetSocietyRank] [alchemist_transmutater.GetFirstName] ha preparado los materiales y el equipo necesarios para comenzar el proceso de transmutación. El Fuego Valyrio está listo y se obtuvo una cantidad de hierro de baja calidad.;;;;;;;;;x
EVTOPTAwildfire.130;Let us make a small amount of gold;;;;Hagamos una pequeña cantidad de oro;;;;;;;;;x
TOOLTIPwildfire.130A;A modest quantity of gold is successfully created for your treasury;;;;Una cantidad pequeña de oro se crea con éxito para su tesoro;;;;;;;;;x
TOOLTIPwildfire.130B;The transmutation fails;;;;La transmutación falla;;;;;;;;;x
EVTOPTBwildfire.130;Transmutate a large quanity of silver!;;;;!Transmutar una gran cantidad de plata!;;;;;;;;;x
TOOLTIPwildfire.130C;A large quantity of silver is successfully created for your treasury, having negative effects on the local economy;;;;Una gran cantidad de plata se crea con éxito para su tesoro, teniendo efectos negativos en la economía local;;;;;;;;;x
TOOLTIPwildfire.130D;The transmutation fails;;;;La transmutación falla;;;;;;;;;x
EVTOPTCwildfire.130;Can we even make valyrian steel?;;;;¿Podriamos hacer incluso acero valyrio?;;;;;;;;;x
TOOLTIPwildfire.130E;Valyrian steel is successfully created;;;;El acero Valyrian se ha creado con éxito;;;;;;;;;x
TOOLTIPwildfire.130F;The transmutation fails;;;;La transmutación falla;;;;;;;;;x
TOOLTIPwildfire.130G;The transmutation fails in catasrophic fashion;;;;La transmutación falla de manera catastrófica;;;;;;;;;x
EVTDESCwildfire.131;The experiment was a success! [alchemist_transmutater.GetSocietyRank] [alchemist_transmutater.GetFirstName] carefully used [alchemist_transmutater.GetHerHis] powers of alchemy to manipulate the iron into an ample quantity of gold bullion!;;;;¡El experimento fue un éxito! [alchemist_transmutater.GetSocietyRank] [alchemist_transmutater.GetFirstName] utilizó cuidadosamente [alchemist_transmutater.GetHerHis] sus poderes de alquimia para manipular el hierro y crear una amplia cantidad de lingotes de oro!;;;;;;;;;x
EVTOPTAwildfire.131;Excellent!;;;;Excelente;;;;;;;;;x
EVTDESCwildfire.132;[alchemist_transmutater.GetSocietyRank] [alchemist_transmutater.GetFirstName] was unable to produce the gold. Despite [alchemist_transmutater.GetHerHis] repeated attempts to manipulate and transmutate the iron, the metal did not change.;;;;[alchemist_transmutater.GetSocietyRank] [alchemist_transmutater.GetFirstName] no pudo producir el oro. A pesar de [alchemist_transmutater.GetHerHis] sus intentos repetidos de manipular y transmutar el hierro, el metal no cambió.;;;;;;;;;x
EVTOPTAwildfire.132;Alchemy would seem tempermental;;;;La alquimia parece ser difícil;;;;;;;;;x
EVTDESCwildfire.133;[alchemist_transmutater.GetSocietyRank] [alchemist_transmutater.GetFirstName]'s experiment in alchemy was a success! The iron has been successfully transmutated into large quantities of silver currency for the treasury. This has had the effect of rising prices in [Root.Capital.GetName] however.;;;;![Alchemist_transmutater.GetSocietyRank] [alchemist_transmutater.GetFirstName]  experimento con la Alquimia y fue un éxito! El hierro ha sido transmutado con éxito en grandes cantidades de plata para la tesorería. Sin embargo, esto ha tenido el efecto negativo de subir los precios en [Root.Capital.GetName].;;;;;;;;;x
EVTOPTAwildfire.133;An unfortunate side effect;;;;Un desafortunado efecto secundario;;;;;;;;;x
inflation_problem;High Prices;;;;Altos precios;;;;;;;;;x
EVTDESCwildfire.134;The transmutation of the iron into silver unfortunately failed. [alchemist_transmutater.GetSocietyRank] [alchemist_transmutater.GetFirstName] repearedly tried to use [alchemist_transmutater.GetHerHis] powers of alchemy to manipluate the iron, but to no avail.;;;;La transmutación del hierro en plata desafortunadamente falló. [alchemist_transmutater.GetSocietyRank] [alchemist_transmutater.GetFirstName] repetidamente intentó usar [alchemist_transmutater.GetHerHis] sus poderes de alquimia para manipular el hierro, pero fue en vano.;;;;;;;;;x
EVTOPTAwildfire.134;Oh well;;;;Oh bien;;;;;;;;;x
EVTDESCwildfire.135;Unbelievably, the transmutation was a success! [alchemist_transmutater.GetSocietyRank] [alchemist_transmutater.GetFirstName] performed the highly dangerous procedure that allowed [alchemist_transmutater.GetHerHim] to manipulate the iron into valyrian steel. A blacksmith has made this into a fine new sword.;;;;Increíblemente, ¡la transmutación fue un éxito! [alchemist_transmutater.GetSocietyRank] [alchemist_transmutater.GetFirstName] realizó el procedimiento altamente peligroso que permitío a [alchemist_transmutater.GetHerHim] manipular el hierro en acero valyrio. !Un herrero ha convertido esto en una nueva espada!;;;;;;;;;x
EVTOPTAwildfire.135;Truly magnificent!;;;;¡Verdaderamente magnífico!;;;;;;;;;x
EVTDESCwildfire.136;Somewhat unsurprisingly, the creation of valyrian steel did not work. [alchemist_transmutater.GetSocietyRank] [alchemist_transmutater.GetFirstName] tried an ancient and dangerous experiment of alchemy to try and transmutate the iron, but only succeeded in mildly burning some of the acolytes.;;;;De manera poco sorprendente, la creación de acero valyrio no funcionó. [alchemist_transmutater.GetSocietyRank] [alchemist_transmutater.GetFirstName] probó un antiguo y peligroso experimento de alquimia para intentar y transmutar el hierro, pero solo logró quemar levemente a algunos de los acólitos.;;;;;;;;;x
EVTOPTAwildfire.136;It was a good effort;;;;Fue un buen esfuerzo;;;;;;;;;x
EVTDESCwildfire.137;The effort to transmutate the iron into valyrian steel was a disaster. [alchemist_transmutater.GetSocietyRank] [alchemist_transmutater.GetFirstName] performed an ancient and dangerously volatile experiment to try and manipulate the iron, but it resulted in a catasrophic explosion of wildfire!;;;;El esfuerzo por transmutar el hierro en acero valyrio fue un desastre. [alchemist_transmutater.GetSocietyRank] [alchemist_transmutater.GetFirstName] realizó un experimento antiguo y peligrosamente volátil para tratar de manipular el hierro, pero dio como resultado una explosión catastrófica de Fuego Valyrio!;;;;;;;;;x
EVTOPTAwildfire.137;Oh dear...;;;;Oh mi Dios...;;;;;;;;;x
EVTDESCwildfire.138;[alchemist_flame_creature.GetSocietyRank] [alchemist_flame_creature.GetFirstName] has the power to create and weild flame creatures made of wildfire. Perhaps they can be used to turn the tide of battle in [Root.Location.GetName]?;;;;[alchemist_flame_creature.GetSocietyRank] [alchemist_flame_creature.GetFirstName] tiene el poder de crear criaturas de llamas hechas de Fuego Valyrio. Tal vez se puedan usar para cambiar el rumbo de la batalla en [Root.Location.GetName]?;;;;;;;;;x
EVTOPTAwildfire.138;Have the substance prepared!;;;¡Prepara la sustancia!;;;;;;;;;;x
TOOLTIPwildfire.136A;The flame creatures are successfully created, and attack the enemy;;;;Las criaturas de llamas se crean con éxito y atacan al enemigo;;;;;;;;;x
TOOLTIPwildfire.136B;The creation of the creatures backfires;;;;La creación de las criaturas de llamas fracasa;;;;;;;;;x
EVTOPTBwildfire.138;No, that is too dangerous;;;;No, eso es muy peligroso;;;;;;;;;x
EVTDESCwildfire.139;[alchemist_flame_creature.GetSocietyRank] [alchemist_flame_creature.GetFirstName] successfully performed the ancient procedure to create the flame creatures. The green, fiery wraiths are directed to lay into the enemy, butchering and burning all those before them and instilling panic in their ranks.;;;;[alchemist_flame_creature.GetSocietyRank] [alchemist_flame_creature.GetFirstName] realizó con éxito el antiguo procedimiento para crear las criaturas de la llamas. Los espectros ardientes se dirigen a acosa al enemigo, masacrando y quemando a todos los que están delante de ellos e inculcando el pánico en sus filas.;;;;;;;;;x
EVTOPTAwildfire.139;Yes, burn them!;;;;Sí, ¡Quémalos!;;;;;;;;;x
EVTDESCwildfire.140;The enemy in the Battle of [Root.Location.GetName] has unleashed a terrible weapon! The alchemist [alchemist_flame_creature.GetSocietyRank] [alchemist_flame_creature.GetFirstName] created flame creatures made of wildfire, and directed these green, fiery wraiths to attack. They butchered and burned all those before them and instilled panic in our ranks.;;;;¡El enemigo en la Batalla de [Root.Location.GetName] ha desatado un arma terrible! El alquimista [alchemist_flame_creature.GetSocietyRank] [alchemist_flame_creature.GetFirstName] creó criaturas de llamas hechas de Fuego Valyrio, y dirigió estos espectros de fuego a atacar. Asesinaron y quemaron a todos los que estaban delante de ellos e infundieron pánico en nuestras filas.;;;;;;;;;x
EVTOPTAwildfire.140;Fall back! fall back!;;;;¡Retroceder! ¡retroceder!;;;;;;;;;x
EVTDESCwildfire.141;We've had reports from the Battle of [From.Location.GetName] that the enemy has unleashed a terrible weapon! The alchemist [alchemist_flame_creature.GetSocietyRank] [alchemist_flame_creature.GetFirstName] created flame creatures made of wildfire, and directed these green, fiery wraiths to attack. They butchered and burned all those before them and instilled panic in the ranks of our forces.;;;;¡Hemos recibido informes de la Batalla de [From.Location.GetName] de que el enemigo ha desatado un arma terrible! El alquimista [alchemist_flame_creature.GetSocietyRank] [alchemist_flame_creature.GetFirstName] creó criaturas de llamas hechas de Fuego Valyrio, y dirigió estos espectros de fuego a atacar. Ellos asesinaron y quemaron a todos los que estaban delante de ellos e infundieron pánico en las filas de nuestras fuerzas.;;;;;;;;;x
EVTOPTAwildfire.141;This is worrying news;;;;Esta es una noticia preocupante;;;;;;;;;x
EVTDESCwildfire.142;[alchemist_flame_creature.GetSocietyRank] [alchemist_flame_creature.GetFirstName] performed the ancient and highly complicated procedure to manipulate the wildfire into flame creatures, but failed! The wildfire merely exploded in catasrophic fasion, injuring and panicking our own men.;;;;[alchemist_flame_creature.GetSocietyRank] [alchemist_flame_creature.GetFirstName] realizó el procedimiento antiguo y altamente complicado para manipular el Fuego Valyrio en criaturas de llamas, ¡pero falló! El Fuego Valyrio simplemente explotó en una explosión catastrófica, hiriendo y induciendo pánico a nuestros propios hombres.;;;;;;;;;x
EVTOPTAwildfire.142;This was a mistake;;;;Esto fue un error;;;;;;;;;x
EVTDESCwildfire.143;During the Battle of [Root.Location.GetName] a huge explosion suddenly came from within the enemy ranks. It appears to be of intensely hot green flame, and has seemed to caused panic among the enemy and has emboldened our own men.;;;;Durante la Batalla de [Root.Location.GetName] una gran explosión de repente vino de dentro de las filas enemigas. Parece ser de una llama verde intensamente caliente, y parece haber causado pánico entre los enemigos y ha envalentonado a nuestros propios hombres.;;;;;;;;;x
EVTOPTAwildfire.143;Perhaps [alchemist_flame_creature.GetSocietyRank] [alchemist_flame_creature.GetFirstName] performed an unwise experiment?;;;;Tal vez [alchemist_flame_creature.GetSocietyRank] [alchemist_flame_creature.GetFirstName] realizó un experimento imprudente?;;;;;;;;;x
EVTDESCwildfire.144;We've had reports from the Battle of [Root.Location.GetName] of a huge explosion suddenly coming from within the enemy ranks. It was said to be of hot green flame, and seemed to cause panic among the enemy and embolden our own forces.;;;;Hemos recibido informes de la Batalla de [Root.Location.GetName] de una gran explosión que, de repente, proviene de las filas enemigas. Se decía que era de llama verde caliente, y parecía causar pánico entre el enemigo y envalentonar nuestras propias fuerzas.;;;;;;;;;x
EVTOPTAwildfire.144;Perhaps [alchemist_flame_creature.GetSocietyRank] [alchemist_flame_creature.GetFirstName] performed an unwise experiment?;;;;Tal vez [alchemist_flame_creature.GetSocietyRank] [alchemist_flame_creature.GetFirstName] realizó un experimento imprudente?;;;;;;;;;x
wildfire_healing;Heal Ailments;;;;Sanar dolencias;;;;;;;;;x
wildfire_healing_desc;Use the recent discovery of rare elixirs to heal [Root.GetTitledFirstNameWithDynastyNoRegnal] of [Root.GetHerHis] ailments;;;;;Usa el descubrimiento reciente de elixires raros para curar a [Root.GetTitledFirstNameWithDynastyNoRegnal] de [Root.GetHerHis] sus enfermedades;;;;;;;;x
wildfire_healing_desc_target;Heal [Root.GetTitledFirstNameNoRegnal]'s Ailments;;;;Curar las afecciones de [Root.GetTitledFirstNameNoRegnal];;;;;;;;;x
TOOLTIPalchemist_elixirs;Has learned the power of §YRare Elixirs§!;;;;¡Ha aprendido el poder de hacer §YElixires raros§!;;;;;;;;;x
TOOLTIPalchemist_elixirsCOURTIER;An alchemist at court has learned the power of §YRare Elixirs§!;;;;¡Un alquimista en la corte ha aprendido el poder de hacer §YElixires raros§!;;;;;;;;;x
wildfire_healing_timer;Elixir Healing Timer;;;;Elixir curativo Minutero;;;;;;;;;x
TOOLTIPwildfire.150;Is approached for healing;;;;Se acerca a curar;;;;;;;;;x
EVTDESCwildfire.150;[healing_proposer.GetTitledFirstNameWithDynastyNoRegnal] has approached you proposing to heal your ailments through the power of the Alchemists Guild. [alchemist_healer.GetTitledFirstNameNoRegnal] apparently knows how to make ancient and powerful elixirs that can relieve you of your pain.;;;;[healing_proposer.GetTitledFirstNameWithDynastyNoRegnal] se le acercó proponiendole sanar sus dolencias a través del poder del Gremio de Alquimistas. [alchemist_healer.GetTitledFirstNameNoRegnal] aparentemente sabe cómo hacer antiguos elixires poderosos que pueden aliviar su dolor.;;;;;;;;;x
EVTDESCwildfire.150B;[alchemist_healer.GetTitledFirstNameNoRegnal] has prepared the neccessary ingredients and equipment to create the elixir of healing...;;;;[Alchemist healer.GetTitledFirstNameNoRegnal] ha preparado los ingredientes y el equipo necesarios para crear el elixir de curación...;;;;;;;;;x
EVTOPTAwildfire.150;I shall be healed;;;;Seré sanado;;;;;;;;;x
EVTOPTBwildfire.150;No, that sounds ridiculous;;;;No, eso suena ridículo;;;;;;;;;x
opinion_refused_healing;Refused Healing;;;;Se rehusó a sanar;;;;;;;;;x
EVTDESCwildfire.151;[From.GetTitledFirstNameNoRegnal] refused your offer to be healed by an elixir of healing.;;;;[From.GetTitledFirstNameNoRegnal] rechazó su oferta de ser curado por un elixir de curación.;;;;;;;;;x
EVTOPTAwildfire.151;[From.GetHerHisCap] loss;;;;[From.GetHerHisCap] pérdido;;;;;;;;;x
EVTDESCwildfire.152;[From.GetTitledFirstNameNoRegnal] accepted the offer and drank the elixir prepared by [alchemist_healer.GetTitledFirstNameNoRegnal]. [From.GetSheHeCap] soon began to feel relieved of [From.GetHerHis] symptoms and has made a full recovery!;;;;[From.GetTitledFirstNameNoRegnal] aceptó la oferta y bebió el elixir preparado por [alchemist_healer.GetTitledFirstNameNoRegnal]. [From.GetSheHeCap] pronto comenzó a sentirse aliviado de los síntomas y se recuperó por completo!;;;;;;;;;x
EVTOPTAwildfire.152;The power of our guild is strong;;;;;El poder de nuestro gremio es fuerte;;;;;;;;x
EVTDESCwildfire.153;[From.GetTitledFirstNameNoRegnal] accepted the offer and drank the elixir prepared by [alchemist_healer.GetTitledFirstNameNoRegnal]. It had little effect however, and instead caused great physical pain and harm.;;;;[From.GetTitledFirstNameNoRegnal] aceptó la oferta y bebió el elixir preparado por [alchemist_healer.GetTitledFirstNameNoRegnal]. Sin embargo, tuvo poco efecto y en su lugar causó un gran daño físico.;;;;;;;;;x
EVTOPTAwildfire.153;That is unfortunate;;;;Eso es desafortunado;;;;;;;;;x
EVTDESCwildfire.154;You drank the elixir, and soon a feeling of renewed energy and vitality came over you. Your ailments have been cured.;;;;Bebiste el elixir y pronto te invadió una sensación de energía y vitalidad renovadas. Sus dolencias han sido curadas.;;;;;;;;;x
EVTOPTAwildfire.154;Miraculous;;;;Milagroso;;;;;;;;;x
EVTDESCwildfire.155;You drank the elixir, but instead of relief you were soon overcame by an intense physical pain...;;;;Bebiste el elixir, pero en lugar de alivio, pronto te sobrepuso un intenso dolor físico...;;;;;;;;;x
EVTOPTAwildfire.155;Arghhh!!;;;;;;;;;;;;;x
EVTDESCwildfire.156;[From.GetTitledFirstNameNoRegnal], impressed by the powers of the Alchemists in healing [From.GetHerHim], has joined the guild as a patron.;;;;[From.GetTitledFirstNameNoRegnal], impresionado por los poderes de los Alquimistas en la curación, se ha unido al gremio como patrón.;;;;;;;;;x
EVTOPTAwildfire.156;Welcome!;;;;¡Bienvenido!;;;;;;;;;x
elixir_of_immortaility;Make an Elixir of Immortality;;;;Haz un Elixir de Inmortalidad;;;;;;;;;x
elixir_of_immortaility_desc;Use the recent discovery of rare elixirs to attempt the creation of an elixir of immortality;;;;Usa el reciente descubrimiento de elixires raros para intentar la creación de un elixir de inmortalidad;;;;;;;;;x
TOOLTIPwildfire.160;The elixir is prepared....;;;;Preparando elixir....;;;;;;;;;x
EVTDESCwildfire.160;The ingredients and equipment needed to make an elixir of immortality have been prepared. The ancient texts describe the process by which it can be made, but the slightest error can result in grave illness or even death...;;;;Los ingredientes y el equipo necesarios para hacer un elixir de inmortalidad han sido preparados. Los textos antiguos describen el proceso por el cual se puede hacer, pero el más mínimo error puede dar como resultado una enfermedad grave o incluso la muerte....;;;;;;;;;x
EVTOPTAwildfire.160;It is worth the risk!;;;;¡Vale la pena el riesgo!;;;;;;;;;x
TOOLTIPwildfire.160A;The elixir succeeds;;;;El elixir es un éxito;;;;;;;;;x
TOOLTIPwildfire.160B;The elixir fails;;;;El elixir es un fracaso;;;;;;;;;x
TOOLTIPwildfire.160C;There is an accident whilst making the elixir;;;;Hay un accidente mientras se hace el elixir;;;;;;;;;x
EVTOPTBwildfire.160;This would be foolhardy;;;;Esto es muy temerario;;;;;;;;;x
EVTDESCwildfire.161;You spent many days making the elixir, distilling the substance with many other exotic ingredients. Finally you brave to drink it, and immediately feel a surge of energy and vitality flow through you!;;;;Pasaste muchos días haciendo el elixir, destilando la sustancia con muchos otros ingredientes exóticos. ¡Finalmente te atreves a beberlo, y de inmediato sientes que una oleada de energía y vitalidad fluye a través de ti!;;;;;;;;;x
EVTOPTAwildfire.161;It must have worked!;;;;!Debe haber funcionado!;;;;;;;;;x
EVTDESCwildfire.162;You followed the procedures written down in the ancient texts, but seemingly not precisely enough. You distilled the substance with the other ingredients and drank the elixir, but it failed. The only effect has a mild sickness.;;;;Usted siguió los procedimientos escritos en los textos antiguos, pero aparentemente no es lo suficientemente preciso. Destilaste la sustancia con los otros ingredientes y bebiste el elixir, pero falló. El único efecto que tuvo fue una enfermedad leve.;;;;;;;;;x
EVTOPTAwildfire.162;Well, it could have been worse;;;;Bueno, podría haber sido peor;;;;;;;;;x
EVTDESCwildfire.163;Despite your best efforts to follow the anicent procedure precisely, your elixir proved dangerous. You distilled the substance with the other ingredients as prompted, but when drank you were instantly overcome with an intense illness...;;;;A pesar de sus mejores esfuerzos para seguir el procedimiento antiguo precisamente, su elixir resultó peligroso. Destilaste la sustancia con los otros ingredientes según lo indicado, pero cuando bebiste te sobrepasaste al instante con una enfermedad rara...;;;;;;;;;x
EVTOPTAwildfire.163;Why did I do this?;;;;¿Por qué hice esto?;;;;;;;;;x
EVTDESCwildfire.170;[Root.PrimaryTitle.GetFOA], I would like to advise you that the Wisdoms of The Alchemists Guild do not hold you in high esteem. As it stands they are unlikely to ask you to perform any tasks in service of the guild.;;;;[Root.PrimaryTitle.GetFOA], me gustaría aconsejarte que los Sabios del Gremio de Alquimistas no te tienen en alta estima. Tal como están las cosas, es poco probable que te pidan que que realices tareas al servicio del gremio.;;;;;;;;;x
EVTOPTAwildfire.170;I must try and win their favour;;;;Debo intentar ganar su favor;;;;;;;;;x
TOOLTIPwildfire.170;You will only receive society missions from a Wisdom or Grand Master that is within diplomatic range and has an opinion of you of §Y-20§! or greater;;;;¡Solo recibirás misiones de la sociedad de un Sabio o Gran Maestro que esté dentro del rango diplomático y tenga una opinión tuya de §Y-20§! o mayor!;;;;;;;;;x
EVTDESCwildfire.180;The enemy have stormed the gates of [FromFrom.GetName]! I cannot allow these traitors to take me alive! The pyromancers assure me that massive stockpiles of wildfire have been hidden throughout [FromFrom.Location.GetName] as ordered...;;;;¡El enemigo ha asaltado las puertas de [FromFrom.GetName]! ¡No puedo permitir que estos traidores me lleven vivo! Los piromaneros me aseguran que las reservas masivas de Fuego Valyrio se han ocultado en [FromFrom.Location.GetName] como se ordenó...;;;;;;;;;x
EVTDESCwildfire.180B;The enemy have stormed the gates of [FromFrom.GetName]! I cannot allow these traitors to take me alive! Under my direction, the pyromancers have stored massive stockpiles of wildfire throughout [FromFrom.Location.GetName]...;;;;¡El enemigo ha asaltado las puertas de [FromFrom.GetName]! ¡No puedo permitir que estos traidores me lleven vivo! Bajo mi dirección, los piromantes han almacenado reservas masivas de Fuego Valyrio en [FromFrom.Location.GetName]...;;;;;;;;;x
EVTDESCwildfire.180C;The enemy have stormed the gates of [FromFrom.GetName]! I cannot allow these traitors to take me alive! [siege_alchemist.GetSocietyRank] [siege_alchemist.GetFirstName] assures me that massive stockpiles of wildfire have been hidden throughout [FromFrom.Location.GetName] as ordered...;;;;¡El enemigo ha asaltado las puertas de [FromFrom.GetName]! ¡No puedo permitir que estos traidores me lleven vivo! [siege_alchemist.GetSocietyRank] [siege_alchemist.GetFirstName] me asegura que las reservas masivas de Fuego Valyrio se han ocultado en [FromFrom.Location.GetName] como se ordenó...;;;;;;;;;x
EVTOPTAwildfire.180;Burn them! Burn them all!!;;;;¡Quémalos! ¡¡Quémalos a todos!!;;;;;;;;;x
TOOLTIPwildfire.180;You order the stockpiles of wildfire ignited in a massive explosion.....;;;;Usted ordena que las reservas de Fuego Valyrio sean encendidas provocando una enorme explosión.....;;;;;;;;;x
EVTOPTBwildfire.180;I must refrain from this madness;;;;Debo evitar esta locura;;;;;;;;;x
EVTDESCwildfire.181;The pyromancers successfully ignited the wildfire! Whilst it was not a destructive as hoped, many of the traitors and invaders were burned, as well as hundreds of your own subjects.;;;;¡Los piromantes incendiaron exitosamente el fuego! Si bien no fue tan destructivo como se esperaba, muchos de los traidores e invasores fueron quemados, así como cientos de sus propios hombres.;;;;;;;;;x
EVTOPTAwildfire.181;Look at them all burn!;;;;¡Míralos arder todos!;;;;;;;;;x
EVTDESCwildfire.182;During the fall of [FromFromFromFrom.GetName] to siege, the crazed [From.GetTitledFirstNameWithDynasty] had massive stockpiles of wildfire hidden in the settlement ignited in a massive explosion! Fortunately the damage was not too severe.;;;;Durante la caída de [FromFromFromFrom.GetName] al asedio, el enloquecido [From.GetTitledFirstNameWithDynasty] tenía acumulaciones masivas de Fuego Valyrio ocultas en el asentamiento y la encendio en una explosión masiva. Afortunadamente el daño no fue muy severo.;;;;;;;;;x
EVTOPTAwildfire.182;What mad man would try such a thing?;;;;¿Qué locura llevaria a hacer tal cosa?;;;;;;;;;x
EVTDESCwildfire.183;The pyromancers successfully ignited the wildfire! The explosions were truly massive, and ripped through [FromFrom.Location.GetName] with destructive force. Soon the whole place was engulfed in green wildfire which consumed all those present, both friend and foe, in a burning hell....;;;;¡Los piromantes incendiaron exitosamente el fuego! Las explosiones fueron realmente masivas y desgarraron [FromFrom.Location.GetName] con fuerza y destrucion. Pronto todo el lugar quedó envuelto en un fuego verde que consumió a todos los presentes, tanto amigos como enemigos, en un ardiente infierno...;;;;;;;;;x
EVTOPTAwildfire.183;Burn! Everyone burn!!!;;;;¡Quemalos! ¡Todos arderan!;;;;;;;;;x
TOOLTIPwildfire.183;[This.GetName] is destroyed and falls into ruin;;;;[This.GetName] se destruye y cae en la ruina;;;;;;;;;x
