job_chancellor;Justiciar;Justicier;;;Justicia Mayor;;;;;;;;;x
DYN5_DESC;With a score of $SCORE$ you$FAILED$ beat House Arryn, first Kings of Mountain and Vale then Lords Paramount of the Vale and Wardens of the East. House Arryn trace their descent to the Andal Invasion when Artys Arryn slew the last of the Mountain Kings and become King of Mountain and Vale. They renamed the land the Vale of Arryn, and their kings wore the Falcon Crown. During the War of Conquest they submitted to Aegon and became Lords Paramount of the Vale and Wardens of the East. When Robert rose to rebellion Jon Arryn supported Robert and Eddard Stark who prior to that were his wards. During the rebellion he married Lysa Tully and later had a sickly son Robert, he died in the year 297 AL. After his death his wife Lysa retreated to the Eyrie with their son Robert and didn't partake in the War of the Five Kings. ;Avec un score de $SCORE$, vous surpassez la Maison Arryn, d'abord Rois de la montagne et du Val puis Seigneurs Suzerains du Val et Gouverneurs de l'Est. La Maison Arryn trouve ses racines dans l'invasion Anale, lorsqu'Artys Arryn tua le dernier Roi de la Montagne et devint Roi de la Montagne et du Val. Ils renommèrent le pays Val d'Arryn et leurs rois portèrent la Couronne du Faucon. Durant la Conquête ils se soumirent à Aegon et devinrent Seigneurs Suzerains du Val et Gouverneurs de l'Est. Lorsqu'éclata la Rébellion de Robert Baratheon, Jon Arryn prit parti pour Robert et Eddard Stark qui avaient été ses pupilles. Durant la rébellion il épousa Lysa Tully et plus tard eût d’elle un enfant maladif, Robert. Il mourut en l'an 297. Après sa mort, sa femme se retira aux Eyrié avec leur fils et ne prit pas part à la Guerre des Cinq Rois.;;;Con un resultado de $SCORE$, no has podido superar a la Casa Arryn, primero Reyes de la Montaña y el Valle y luego Señores Supremos del Valle y Guardianes del Oriente. La Casa Arryn desciende de Artys Arryn quien mató al anterior Rey de la Montaña durante la Invasión Ándala para convertirse en rey él mismo. Renombró la tierra como Valle de Arryn y sus reyes portaban la Corona del Halcón. Durante la Conquista de Aegon se sometieron y fueron nombrados Señores Supremos del Valle y Guardianes del Oriente. Cuando Robert se rebeló Jon Arryn se unío a sus antiguos pupilos Robert y Eddard en su causa. Durante la rebelión contrajo matrimonio con Lysa Tully, quien le pudo dar un único y enfermizo hijo, Robert, y finalmente murió en el año 297 DD. Después de su muerte su esposa Lysa volvió al Nido de Águilas junto a su hijo Robert y no tomaron parte en la Guerra de los Cinco Reyes. ;;;;;;;;;x
DYN6_DESC;With a score of $SCORE$ you$FAILED$ beat House Martell, Princes of Dorne. The Martells were one of the most powerful Dornish houses when the Rhoynar and their Queen Nymeria, fleeing the Valyrians, landed on the eastern coast. Nymeria wed Lord Mors Martell and then they started uniting Dorne under their rule which lead them into conflict with House Yronwood. House Martell avoided being conquered by Aegon the Conqueror, but was conquered briefly by Daeron I 'the Young Dragon' They later joined the Targaryen Realm with the marriages of Daeron II with Myriah Martell and Maron Martell with Daenerys Targaryen. During Robert's Rebellion they fought for the Targaryens due to the marriage of Prince Rhaegar and Elia Martell. Because of Prince Doran's caution they remain unblooded in the War of the Five Kings. ;Avec un score de $SCORE$, vous surpassez la Maison Martell, les Princes de Dorne. Les Martell étaient l'une des plus puissantes maisons dorniennes lorsque les Rhoynars et leur Reine Nymeria, fuyant les Valyriens, passèrent le Détroit. Nymeria prit pour époux Lord Mors Martell et ensemble ils entreprirent d'unifier Dorne, s’attirant de fait les inimitiés de la Maison Ferboys. La Maison Martell réchappa à la Conquête d'Aegon le Conquérant, mais fut soumise temporairement par Daeron I 'le Jeune Dragon'. Il fallut finalement attendre les mariages de Daeron II et Myriah Martell et de Maron Martell avec Daenerys Targaryen pour que les Martell rejoignent définitivement les Targaryen. Durant la Rébellion de Robert Baratheon, les Martell combattirent pour les Targaryen en vertu du mariage entre le Prince Rhaegar et Elia Martell. Grâce à la prudence du Prince Doran, ils parvinrent à rester en dehors de la Guerre des Cinq Rois. ;;;Con un resultado de $SCORE$, no has podido superar a la Casa Martell, Príncipes de Dorne. Los Martell eran una de las casas dornienses más poderosas cuando los Rhoynar y su reina Nymeria huyendo de los Valyrios, arribó a la costa este. Nymeria se casó com Lord Mors Martell y comenzaron un proceso de unificación de las tierras de Dorne bajo su gobierno lo que les llevó a un conflicto con la Casa Yronwood. La Casa Martell evitó que Dorne fuera tomada por Aegon, y aunque fue conquistada brevemente por Daeron I 'El Joven Dragón' no pudo someterla mucho tiempo al Trono de Hierro. Finalmente se unieron al reino tras los matrimonios de Daeron II con Myriah Martell y Maron Martell con Daenerys Targaryen. Durante la Rebelión de Robert, lucharon del lado de los Targaryen debido al matrimonio del príncipe Rhaegar y Elia Martell. Gracias a la prudencia del Prícipe Doran Martell, el territorio ha permanenido indemne en la sangrienta Guerra de los Cinco Reyes.;;;;;;;;;x
DYN7_DESC;With a score of $SCORE$ you$FAILED$ beat House Gardener, Kings in the Reach and Lords of Highgarden. According to legend, Garth Greenhand was the first member of the house to rule the Reach. Garth had many descendents, supposedly half the noble houses in the Reach, including the Tyrells and the Florents, can trace their lineage back to him. During the War of Conquest King in the Reach was Mern IX. Together with King Loren I Lannister they marched against Aegon the Conqueror on the Field of Fire, but were defeated when Aegon and his sister unleashed their dragons. King Mern the last King in the Reach died in the battle and Highgarden was surrendered to Aegon by his stewards the Tyrells. ;Avec un score de $SCORE$, vous surpasser la Maison Jardinier, Rois du Bief et Seigneurs de Hautjardin. D’après les légendes, Garth Mainverte fut le premier membre de la maison à régner sur le Bief. Garth eut de nombreux descendants et presque la moitié des maisons nobles du Bief, les Tyrell et les Florent inclus, peuvent faire remonter leur lignée jusqu’à lui. Durant la Conquête, le Roi du Bief était Mern IX. S’alliant au Roi Loren du Roc, il marcha contre Aegon le Conquérant et l'affronta au Champs de Feu où il fut vaincu quand le Targaryen et ses sœurs lâchèrent simultanément leurs trois dragons. Le Roi Mern, dernier Roi du Bief, trouva la mort durant la bataille et ce fut la lignée des intendants du Roi, les Tyrell, qui présentèrent la soumission de Hautjardin à Aegon. ;;;Con un resultado de $SCORE$, no has podido superar a la Casa Gardener, Reyes en el Dominio y Señores de Altojardín. De acuerdo a la leyenda Garth Manoverde fue el fundador de la dinastía que gobernarían el Dominio durante miles de años. Los descedientes de Garth fundaron muchas de casas nobles del Dominio, como los Tyrell o los Florent, quienes también pueden trazar sus árboles genealógicos hasta él. Durante la Guerra de Conquista, reinaba en el Dominio Mern IX. Junto al Rey Loren I Lannister marchó contra Aegon El Conquistador al Campo de Fuego, pero fueron derrotados cuando Aegon y sus hermanas liberaron a los dragones. El Rey Mern, último Rey en el Dominio murió en batalla y Altojardín fue rendida para Aegon por los propios mayodomos del Dominio, los Tyrell. ;;;;;;;;;x
DYN8_DESC;With a score of $SCORE$ you$FAILED$ beat House Hightower, Lords of Oldtown, the Port and the High Tower. Defenders of the Citadel and Beacons of the South. House Hightower has existed since the Dawn of Days when they were petty-kings and managed to survive and hold to power by allying with the strongest, rarely taking part in wars. During the coming of the Andals and the creation of the Kingdom of the Reach, the Hightowers allied with the newcomers. They were integral in the foundation of the Citadel and continue to be patrons of both the Citadel and the Faith. When Aegon the Conqueror reached Oldtown the Hightowers followed the example of the High Septon and submitted to him. The current Lord Leyton Hightower follows the lead of his liege Mace Tyrell in declaring first for Renly Baratheon then for Joffrey.;Avec un score de $SCORE$, vous surpassez la Maison Hightower, Seigneurs de Villevieille, du Port et de Grand-Tour et Défenseurs de la Citadelle. La Maison Hightower existe depuis l'Aube des Jours, lorsqu'ils n’étaient que des roitelets tentant de survivre et de conserver leur puissance en s'alliant avec les plus forts et prenant rarement part aux guerres. Lors de l'arrivée des Andals et la fondation du Royaume du Bief, les Hightower s'allièrent avec les nouveaux venus. Ils prirent une part importante dans la fondation de la Citadelle et continuent d'être les patrons de l'institution et de la Foi. Lorsqu'Aegon le Conquérant parvint jusqu'à Villevieille, les Hightower suivirent l'exemple du Grand Septon et se soumirent au Targaryen. L'actuel Lord, Leyton Hightower, a suivi son suzerain Mace Tyrell en se déclarant d'abord pour Renly Baratheon puis pour Joffrey. ;;;Con un resultado de $SCORE$, no has podido superar a la Casa Hightower, Voz de Antigua, Señor del Puerto y El Faro. Defensores de la Ciudadela y Faros del Sur. La Casa Hightower ha existido desde el amanecer de los días cuando eran pequeños reyes y han conseguido sobrevivir y mantener su poder aliándose con los más fuertes o raramente tomando partido en guerras. Durante la Invasión de los Ándalos y la creación del Reino del Dominio, los Hightower se aliaron con los invasores. Fueron imprescidibles en la fundación de la Ciudadela y continúan siendo patronos de la Ciudadela y de la Fe. Cuando Aegon llegó a Antigua, los Hightower se sometieron siguiendo el consejo del Alto Septón. Lord Leyton Hightower fue el primero de los vasallos en seguir a su señor Mace Tyrell cuando decidió apoyar a Renly Baratheon durante la Guerra de los Cinco Reyes.;;;;;;;;;x
DYN9_DESC;With a score of $SCORE$ you$FAILED$ beat House Hoare, High Kings of the Iron Islands. House Hoare ascended the Seastone Chair by being chosen at a kingsmoot after the destruction of House Greyiron by the Andal invaders. Under King Qhored Hoare the realm of the ironborn reached the peak of its expansion, holding much of the western coast of Westeros including the Arbor and Bear Island. The kings who followed him lost all their holdings except the Iron Islands and the coast of the Riverlands. They expanded again during the rule of Harwyn Hardhand who conquered the whole of the Riverlands from the Storm King Arrec. His grandson Harren the Black was the last High King of the Iron Islands, who built Harrenhall. However, as he finished it Aegon the Conqueror invaded and had his dragons burn the castle with Harren and his sons inside it, destroying House Hoare. ;Avec un score de $SCORE$, vous surpassez la Maison Chenu, Rois du Sel et du Roc des Îles de Fer. La maison Chenu fut désignée pour accéder au trône de Grès durant les états généraux de la royauté qui suivirent la destruction de la Maison Greyfer par les envahisseurs Andals. C’est sous le Roi Qhored Chenu que le Royaume Fer-né connu son extension territoriale la plus importante, recouvrant une bonne partie des côtes occidentales de Westeros ainsi que l'Île-aux-Ours et la Treille. Les Rois qui lui succédèrent perdirent toutes leurs possessions à l'exception des Îles de Fer et des côtes du Conflans. Ils agrandirent une nouvelle fois leur territoire sous le règne de Harwyn la Poigne qui parvint à conquérir l'ensemble du Conflans sur le Roi de l'Orage Arrec. Son petit-fils Harren le Noir fut le dernier Roi du Sel et du Roc des Îles de Fer et l’homme à l’origine de la construction d’Harrenhall. Les travaux étaient à peine terminés quand débarqua Aegon le Conquérant. Il fit brûler le château où s’étaient réfugiés Harren et ses fils par son dragons, mettant ainsi fin à la Maison Chenu.;;;Con un resultado de $SCORE$, no has podido superar a la Casa Hoare, Reyes de las Islas del Hierro. La Casa Hoare ascendió a la Silla de Piedramar trás ser elegidos después de la destrucción de la Casa Greyiron por los invasores ándalos. Bajo el reinado del Rey Qhored Hoare, el reino de los hijos del hierro llegó al punto álgido de su expansión manteniendo la mayoría de la costa occidental de Poniente incluyendo el Rejo y la Isla del Oso. Los reyes que le sucedieron fueron perdiendo todas las posesiones excepto las mismas Islas del Hierro y la costa de las Tierras de los Ríos. Se expandieron durante el reinado de Harwyn 'Manodura' quién conquistó las Tierrras del los Ríos al Rey de la Tormenta Arrec. Su nieto Harren 'El Negro' fue el último de los Reyes de las Islas del Hierro, y construyó Harrenhall. Sin embargó, de poco le sirvió, pues Aegon el Conquistador invadió sus tierras y sus dragones quemaron el castillo con Harren y sus hijos dentro, destruyendo de esta manera la Casa Hoare. ;;;;;;;;;x
DYN10_DESC;With a score of $SCORE$ you$FAILED$ beat House Yronwood, the Bloodroyal, Wardens of the Stone Way. The Yronwoods were powerful kings in Dorne before the arrival of the Rhoynar, the head of the house continues to hold the title 'The Bloodroyal' but were beaten by House Martell and Queen Nymeria, becoming their bannermen. They joined the Blackfyres in three of their rebellions and fought against the Martells and Targaryens. Despite this they still are the second most powerful house in Dorne. The current Lord Anders Yronwood is loyal to Prince Doran Martell and mustered an army in the Boneway during the War of the Five Kings by his instruction.;Avec un score de $SCORE$, vous surpassez la Maison Ferboys, le Sangderoy, Gardiens de la Voie de Pierre. Les Ferboys étaient de puissants Rois à Dorne jusqu’à l'arrivée des Rhoynars, d’où le titre de Sangderoy toujours porté par la branche principale de la maison, mais ils furent vaincus par la Maison Martell et la Reine Nymeria et devinrent leurs bannerets. Ils rejoignirent les Feunoyr dans trois de leurs rébellions et se battirent contre les Martell et les Targaryen. Ils restent malgré cela la seconde maison de la plus puissante de Dorne. L'actuel Lord, Anders Ferboys, est loyal au Prince Doran Martell et a rassemblé, sous ses instructions, une armée aux Osseux durant la Guerre des Cinq Rois.;;;Con un resultado de $SCORE$, no has podido superar a la Casa Yronwood los Sangre Regia y Guardianes del Camino de Piedra. Los Yronwood eran reyes poderosos hasta la llegada de los Rhoynar, y aunque el señor de la casa aún continúa ostentando el título de 'Sangre Regia', fueron derrotados por la Casa Martell y la Reina Nymeria, y se convirtieron en sus vasallos. Se unieron a los Fuegoscuros en tres de sus rebeliones y lucharon contra los Martell y los Targaryen. A pesar de ello siguen siendo la segunda casa más poderosa de Dorne. Actualmente Lord Anders Yronwood es leal al Príncipe Doran y mantuvo un ejército en el Sendahuesos durante la Guerra de los Cinco Reyes bajo sus órdenes.;;;;;;;;;x
DYN11_DESC;With a score of $SCORE$ you$FAILED$ beat House Manderly, Wardens of the White Knife, Lord Marshals of the Mander. A thousand years ago the Manderlys lived at the banks of the mighty river Mander, but they were driven away by House Gardener. They fled north and were welcomed by House Stark and granted White Harbor. Due to this they are the only noble house from the North of Andal origin. They become the richest house in the North and the most powerful of House Stark's bannermen. The current lord Wyman Manderly supported Robb Stark in the War of the Five Kings.;Avec un score de $SCORE$, vous surpassez la Maison Manderly, Gardiens de Blanchedague, Lord Maréchaux de la Mander. Il y a de cela près de mille ans, les Manderly vivaient sur les rives de la puissante Mander, mais ils en furent chassés par la Maison Jardinier. Ils fuirent vers le nord et furent accueillis par la Maison Stark qui leur céda Blancport, faisant d’eux la seule maison du Nord à avoir des origines Anales. Ils devinrent la plus riche maison du Nord et les plus puissants bannerets de la Maison Stark. L'actuel Lord, Wyman Manderly, a soutenu Robb Stark dans la Guerre des Cinq Rois.;;;Con un resultado de $SCORE$, no has podido superar a la Casa Manderly, guardianes del Cuchillo Blanco y antiguos Mariscales del Mander. Hace un millar de años, los Manderly vivían a orillas del Río Mander, pero fueron desposeídos por los Gardener del Dominio. Huyeron al Norte donde recibieron la bienvenida de la Casa Stark y se les concedió Puerto Blanco. Es por esto que son la única casa de origen ándalo de todo el Norte. Con el tiempo se convirtieron en la casa más rica del Norte y el vasallo más poderoso de la Casa Stark. El actual señor Lord Wyman Manderly apoyó al Rey Robb en la Guerra de los Cinco Reyes.;;;;;;;;;x
DYN12_DESC;With a score of $SCORE$ you$FAILED$ beat House Frey, Lords of the Crossing. House Frey is one of the younger houses in Westeros, dating back some six centuries when its founder was awarded lands and nobility. The Twins', their seat, strategic location allowed the Freys to prosper by extracting tolls for passage across the river. The Freys grew into one of the richest and most powerful houses of the Trident, but most other houses look down on them as upstarts. After the War of Conquest, House Frey sweared fealty to House Tully. The current lord Walder Frey expanded the house considerably and allied with Robb Stark in the War of the Five Kings, but later betrayed him due to his breaking of his promise to marry one of Lord Walder's daughters.;Avec un score de $SCORE$, vous surpassez la Maison Frey, Sires du Pont. La Maison Frey est l'une des plus jeunes maisons de Westeros, remontant à quelques six siècles lorsque son fondateur fut anobli et reçut des terres. Les Jumeaux, leur demeure, fut bâtie à un endroit stratégique qui permit aux Frey de prospérer grâce aux taxes prélevées sur le passage de la rivière. Les Frey devinrent rapidement l’une des plus riche et des plus puissante Maison du Trident, mais de nombreuses maisons continuèrent de les voir comme des parvenus. Après la Conquête, la Maison Frey jura fidélité à la Maison Tully. L'actuel lord, Walder Frey, accrut considérablement la puissante de la maison et s'allia avec Robb Stark dans la Guerre des Cinq Rois. Il finit cependant par le trahir quand le jeune loup rompit ses fiançailles avec l’une de ses filles.;;;Con un resultado de $SCORE$, no has podido superar a la Casa Frey, Señores del Cruce. La Casa Frey es una de las casa más jóvenes de Poniente, con tan solo seiscientos años de existencia cuando su fundador fue recompensado con esas tierras por su servicio. Los Gemelos, su principal fortaleza se sitúa en un estratégico paso en el río Forca Verde y ha permitido a los Frey prosperar gracias a los peajes cobrados por el cruce del río. Los Frey crecieron de esta manera hasta hacerse una de las más ricas y poderosas casas del Tridente, pero la mayoría de las otras casas los miraban todavía pro encima del hombro. Después de la Guerra de Conquista juraron lealtad a la Casa Tully. El actual señor Lord Walder Frey ha expandido el prestigio y poder de su casa y apoyó al Rey Robb en el Norte en la Guerra de los Cinco Reyes. Sin embargo, acabó traicionándolo cuando el joven lobo rompió su compromiso con una de sus hijas.;;;;;;;;;x
DYN13_DESC;With a score of $SCORE$ you$FAILED$ beat House Reyne, Lords of Castamere. House Reyne was once the richest and most powerfull house in the Westerlands after House Lannister. During the reign of the weak Lord Tytos Lannister the Lord of House Reyne rebelled against his overlord along with the Tarbecks of Tarbeck Hall. Lord Tytos' son and heir Tywin Lannister commanded the Lannister army and defeated House Reyne. In the end Tywin Lannister had Castamere brought down and House Reyne exterminated.;Avec un score de $SCORE$, vous surpassez la Maison Reyne, Seigneurs de Castamere. La Maison Reyne fut l'une des plus puissantes et des plus riche maison des Terres de l'Ouest, après les Lannister. Durant le règne du faible Lord Tytos Lannister, le chef de la Maison Reyne se souleva contre son seigneur avec les Tarbeck de Château Tarbeck. Le fils et héritier de Lord Tytos, Tywin Lannister, fit plus tard marcher l'armée Lannister sur la Maison Reyne pour mater la rébellion. Il détruisit Castamere et extermina la Maison Reyne.;;;Con un resultado de $SCORE$, no has podido superar a la Casa Reyne, Señores de Castamere. La Casa Reyne fue una de las más poderosas y ricas casas de Occidente tras la Casa Lannister. Durante el gobierno del débil Lord Tytos Lannister, el Señor de la Casa Reyne se rebeló apoyado por la Casa Tarbeck. El hijo y heredero de Lord Tytos, Tywin lideró el ejército que asedió el hogar de los Reyne. Al final Tywin Lannister asaltó Castamere y exterminó a la Casa Reyne.;;;;;;;;;x
DYN14_DESC;With a score of $SCORE$ you$FAILED$ beat House Osgrey of Standfast. House Osgrey was established at least 1000 years before the Conquest, and they used to be Marshalls of the North March under House Gardener. After the last Gardener was killed on the Field of Fire the Osgrey's prominence began to diminish. Lord Ormond Osgrey lost his seat Coldmoat when he spoke out against King Maegor I for his suppression of the Faith Militant. In the Blackfyre Rebellion the head of the house, Ser Eustace Osgrey, supported Daemon Blackfyre. In the end the rebellion failed and his three sons were killed at the Battle of the Redgrass Field and his daughter died while being hostage for his treason. His wife committed suicide. This made Ser Eustace the last of his line, he later married Lady Rohanne Webber. House Osgrey's fate is unknown, but most likely it ended with Ser Eustace. ;Avec un score de $SCORE$ vous surpassez la Maison Osgris de Piéferme. La Maison Osgris fut fondée environ mille ans avant la Conquête, et ils furent les maréchaux des marches du nord sous la Maison Jardinier. Après la mort du dernier Jardinier à la bataille du Champs de Feu, la prééminence des Osgris commença à diminuer. Lord Ormond Osgris perdit sa demeure de Froide-Douve lorsqu'il s’opposa publiquement au Roi Maegor I contre la suppression de la Foi Militante. Lors de la Rébellion Feunoyr, le chef de la maison, Ser Eustace Osgris, supporta Daemon Feunoyr. La rébellion fut écrasée et Osgris perdit ses trois fils à la bataille du Champ d'Herberouge. Sa fille mourut alors qu'elle était otage pour cette trahison et sa femme se suicida. Cela fit de Ser Eustace le dernier de sa lignée, jusqu’à son mariage avec Lady Rohanne Tyssier. La destinée de la Maison Osgris n'est pas connue, mais il semble qu'elle se soit éteinte avec Ser Eustace.;;;Con un resultado de $SCORE$, no has podido superar a la Casa Osgrey. Fundada un millar de años antes de la Conquista, la Casa Osgrey fue una de la más poderosas casas del Dominio, convirtiéndose en Mariscales de la Marca del Norte bajo el reinado de la Casa Gardener. Su declive comenzó despúes de la caida de la Casa Gardener en el Campo de Fuego cuando Ormond Osgrey se opuso a la supresión de la Fe Militante por el rey Maegor, por lo que perdió sus castillos incluyendo Fosafría. Ahora los Osgrey no son más que Caballeros hacendados, intentando recuperar la gloria pasada apoyando rebeldes como Daemon Fuegoscuro quien les prometió redención.;;;;;;;;;x
DYN15_DESC;With a score of $SCORE$ you$FAILED$ beat House Baelish of the Fingers, a noble house from the Vale. The seat of House Baelish is located on the smallest of the Fingers. The current lord, Petyr Baelish is only the second generation of the landed family. His grandfather had been a landless hedge knight and his father the smallest of lords. The house began with Petyr's great-grandfather, who was born in Braavos and came to the Vale as a sellsword employed by House Corbray. No member of House Baelish has achieved anything significant, yet.;Avec un score de $SCORE$, vous surpassez la Maison Baelish des Doigts, une maison noble du Val, dont la demeure est située sur le plus petit des Doigts. Le Lord actuel, Petyr Baelish, n'est que la seconde génération de la famille anoblie. Son grand père était un chevalier errant sans terres et son père le plus petit des seigneurs. La maison est apparue avec l'arrière-grand-père de Petyr, un natif de Braavos qui vint dans le Val comme 'épée louée' au service de la Maison Corbray. Aucun membre de la maison Baelish n'a fait quoi que ce soit de remarquable... pour le moment. ;;;Con un resultado de $SCORE$, no has podido superar a la Casa Baelish, una pequeña casa noble del Valle de Arryn, cuyo hogar está localizado en el menor de los Dedos. Su último Señor, Lord Petyr Baelish solo es el segundo de la familia en poseer tierras, su abuelo  fue un caballero errante nacido de un mercenario braavosi contratado por la Casa Corbray, y su padre fue el más menor de los Señores, y pese a la ambición de Lord Petyr su casa todavía no ha alcanzado grandes logros.;;;;;;;;;x
