#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTAplot_events_CK2plus.23;Who could have sent them?!;Qui a bien pu les engager ?;;;Quién los habrá enviado?;;;;;;;;;x
EVTDESCplot_events_CK2plus.24;We ambushed [From.GetTitledFirstNameWithDynastyNoRegnal]'s carriage on a lonely stretch of road in the countryside. The guards put up a fierce resistance, and after a brief skirmish we were forced to retreat without accomplishing our objective.;Nous avons tendu une embuscade à la petite troupe de [From.GetTitledFirstName] alors qu'elle s'engageait sur une petite route de campagne. Les gardes ont opposé une forte résistance et après une brève escarmouche nous avons été forcés de battre en retraire sans avoir accompli la mission. ;;;Tendimos una emboscada al carruaje de [From.GetTitledFirstNameWithDynastyNoRegnal] mientras atravesaba un pequeño camino rural. Los guardias opusieron una fuerte resistencia y tras una breve escaramuza nos forzaron a batirnos en retirada sin cumplir la misión. ;;;;;;;;;x
EVTOPTAplot_events_CK2plus.24;At least there are no clues to my involvement...;Au moins n'y a-t-il aucune trace de mon implication…;;;Al menos no hay pruebas de mi implicación...;;;;;;;;;x
EVTDESCplot_events_CK2plus.2499;As my [From.GetRootRelation] [From.GetTitledFirstNameWithDynastyNoRegnal] was travelling through the countryside, a band of masked thugs on horses attacked [From.GetHerHis] carriage. After a brief skirmish the guards fought them off, but unfortunately failed to take any captives.;Alors que mon(a) [From.GetRootRelation] [From.GetTitledFirstNameWithDynastyNoRegnal] voyageait à travers la campagne, une bande de bandits montés sur des chevaux a attaqué sa petite troupe. Après une courte escarmouche ses gardes les ont repoussés, mais n'ont malheureusement pas pu en capturer. ;;;Mientras mi [From.GetRootRelation] [From.GetTitledFirstNameWithDynastyNoRegnal] viajaba por el campo, una banda de bandidos enmascarados y montados en caballos atacó su carruaje. Tras una breve escaramuza, sus guardias los rechazaron, pero desafortunadamente no pudieron capturar a ninguno.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.2499;Who could have sent them?!;Qui a bien pu les engager ?;;;Quién los habrá enviado?;;;;;;;;;x
EVTDESCplot_events_CK2plus.25;As I was travelling through the countryside, a band of masked thugs on horses attacked my carriage. After a brief skirmish my guards fought them off, taking several of them prisoner. After some interrogation, they revealed themselves to be working under orders from [From.GetTitledFirstNameWithDynastyNoRegnal] to abduct me.;Alors que je voyageais à travers la campagne, une bande de bandits masqués et montés sur des chevaux a attaqué ma petite troupe. Après une courte escarmouche mes gardes les ont repoussés, en capturant certains au passage. Un interrogatoire a révélé qu'ils étaient aux ordres de [From.GetTitledFirstName] et avaient pour mission de m'enlever. ;;;;;;;;;;;;x
EVTOPTAplot_events_CK2plus.25;That [GetRootFromInsult] will pay for this!;[From.GetTitledFirstName] va payer pour ça !;;;Ese [GetRootFromInsult] pagará por esto!;;;;;;;;;x
EVTDESCplot_events_CK2plus.26;We ambushed [From.GetTitledFirstNameWithDynastyNoRegnal]'s carriage on a lonely stretch of road in the countryside. The guards put up a fierce resistance, and several of my men were captured before we could escape.;Nous avons tendu une embuscade à la petite troupe de [From.GetTitledFirstName] alors qu'elle s'engageait sur une petite route de campagne. Les gardes ont opposé une forte résistance et plusieurs de mes hommes ont été capturés avant que nous ne parvenions à battre en retraite. ;;;Tendimos una emboscada al carruaje de [From.GetTitledFirstNameWithDynastyNoRegnal] mientras atravesaba un pequeño camino rural. Los guardias opusieron una fuerte resistencia y tras una breve escaramuza capturaron a varios de mis hombres antes de poder batirnos en retirada.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.26;[From.GetTitledFirstNameNoRegnal] must know that I sent them...;[From.GetTitledFirstName] doit maintenant savoir que je les ai envoyés…;;;[From.GetTitledFirstNameNoRegnal] ya debe saber quien los envió…;;;;;;;;;x
EVTDESCplot_events_CK2plus.2699;As my [From.GetRootRelation] [From.GetTitledFirstNameWithDynastyNoRegnal] was travelling through the countryside, a band of masked thugs on horses attacked [From.GetHerHis] carriage. After a brief skirmish the guards fought them off, taking several of them prisoner. After some interrogation, they revealed themselves to be working under orders from [FromFrom.GetTitledFirstNameWithDynastyNoRegnal] to abduct my [From.GetRootRelation].;Alors que mon(a) [From.GetRootRelation] [From.GetTitledFirstNameWithDynastyNoRegnal]  voyageait à travers la campagne, une bande de bandits montés sur des chevaux a attaqué sa petite troupe. Après une courte escarmouche ses gardes les ont repoussés, et sont parvenus à en caoturer quelques-uns.Un interrogatoire a révélé qu'ils étaient aux ordres de [FromFrom.GetTitledFirstNameWithDynastyNoRegnal] et qu'ils avaient pour mission d'enlever mon(a) [From.GetRootRelation].;;;;;;;;;;;;x
EVTOPTAplot_events_CK2plus.2699;What low behaviour!;Quelle bassese !;;;Qué bajeza!;;;;;;;;;x
EVTDESCplot_events_CK2plus.27;My co-conspirators have fabricated evidence that [Root.PlotTarget.GetTitledFirstName]'s liege is planning to move against him. As soon as I give the word, they will present this information to [Root.PlotTarget.GetHerHim] along with my seal to convince [From.GetHerHim] of their authenticity.;Mes co-conspirateurs ont fabriqué des documents prouvant que le suzerain de [Root.PlotTarget.GetTitledFirstName] projette de s'attaquer à lui. Dès que je donnerai l'ordre, ils les lui présenteront avec mon sceau pour le convaincre leur authenticité.;;;Mis cómplices han fabricado unos documentos que indican que el Señor de [Root.PlotTarget.GetTitledFirstName] planea atacarlo. A mi orden, se las presentaran con mi sello para convencerle de su autenticidad.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.27;This should force [Root.PlotTarget.GetHerHis] hand...;Cela devrait forcer la main de [Root.PlotTarget.GetHerHis]…;;;Esto debería forzar a [Root.PlotTarget.GetHerHis] a actuar…;;;;;;;;;x
EVTOPTBplot_events_CK2plus.27;Wait for a better opportunity;Attendre une meilleure occasion;;;Esperar una mejor ocasión;;;;;;;;;x
EVTDESCplot_events_CK2plus.28;A letter arrived today from [From.GetTitledName]. Inside was incontroversible evidence that [Root.Liege.GetTitledFirstName] is planning to have me arrested and banished on trumped-up charges of treason.;Aujourd'hui est arrivé un corbeau de [From.GetTitledName]. Il apportait la preuve incontestable que [Root.Liege.GetTitledFirstName] projette de me faire arrêter et de me bannir sous de fausses accusations de trahison.;;;Hoy ha llegado un cuervo de [From.GetTitledName]. Trae documentos que prueban que [Root.Liege.GetTitledFirstName] planea detenerme y desterrarme bajo falsas acusaciones de traición.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.28;Thanks to [From.GetTitledFirstName], I may still have a chance!;Grâce à [From.GetTitledFirstName], j'ai peut-être encore une chance !;;;Gracias a [From.GetTitledFirstName], todavía tengo una oportunidad!;;;;;;;;;x
EVTDESCplot_events_CK2plus.29;[From.GetTitledFirstName] was completely fooled by the fabricated evidence I sent [From.GetHerHim] and has risen up in revolt against [From.GetHerHis] liege.;[From.GetTitledFirstName] a été complètement dupé par les fausses preuves que je lui ai envoyé et s'est révolté contre son suzerain. ;;;[From.GetTitledFirstName] ha sido completamente engañado con las pruebas falsas que le he enviado y se ha rebelado contra su Señor. ;;;;;;;;;x
EVTOPTAplot_events_CK2plus.29;Gullible fool!;Imbécile et crédule, que de qualités !;;;Tonto crédulo!;;;;;;;;;x
EVTDESCplot_events_CK2plus.30;[From.GetTitledFirstName] has revolted against me, citing 'evidence' of plans to have [From.GetHerHim] arrested and banished. This is undoubtedly the plot of one of my enemies seeking to undermine my power.;"[From.GetTitledFirstName] s'est révolté(e) contre moi au nom de ""preuves"" quant à un plan de ma part pour le(a) faire arrêter et bannir. C'est sans aucun doute possible un complot de l'un de mes ennemis pour m'affaiblir.";;;"[From.GetTitledFirstName] se ha rebelado contra mi en nombre de unas ""pruebas"" que hablan de un plan por mi parte de arrestarlo y desterrarlo. Sin duda se trata de un complot de uno de mis enemigos para debilitarme.";;;;;;;;;x
EVTOPTAplot_events_CK2plus.30;Who could have done such a thing?!;Qui a bien pu faire une chose pareille ?;;;Quién ha podido hacer una cosa de ese estilo?;;;;;;;;;x
EVTDESCplot_events_CK2plus.31;A letter arrived today from [From.GetTitledName]. Inside was incontroversible evidence that [Root.Liege.GetTitledFirstName] is planning to have me arrested and banished on trumped-up charges of treason.;Aujourd'hui est arrivé un corbeau de [From.GetTitledName]. Il apportait la preuve incontestable que [Root.Liege.GetTitledFirstName] projette de me faire arrêter et de me bannir sous de fausses accusations de trahison.;;;Hoy ha llegado un cuervo de [From.GetTitledName]. Trae documentos que prueban que [Root.Liege.GetTitledFirstName] planea detenerme y desterrarme bajo falsas acusaciones de traición.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.31;I refuse to believe it...;Je refuse de le croire…;;;No me lo creo...;;;;;;;;;x
EVTDESCplot_events_CK2plus.32;[From.GetTitledFirstName] was not convinced by the fabricate evidence I sent [From.GetHerHim], and has informed [From.GetHerHis] liege of its contents.;[From.GetTitledFirstName] n'a pas été convaincu par la fausse preuve que je lui ai envoyé et a informé son suzerain de son contenu. ;;;[From.GetTitledFirstName] no ha sido convencido por la prueba falsa que le he enviado y ha informado a su Señor de su contenido.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.32;This will not help my reputation...;Cela ne va pas aider ma réputation…;;;Esto no ayudará a mi reputación...;;;;;;;;;x
EVTDESCplot_events_CK2plus.33;[From.GetTitledFirstName] has told me of a letter containing fabricated evidence of a plot to have [From.GetHerHim] arrested and banished. The letter was sent by [FromFrom.GetTitledFirstName], who is undoubtedly trying to incite revolt against me to undermine my power.;[From.GetTitledFirstName] m'a parlé d'une lettre contenant de fausses preuves m'accusant de comploter contre lui pour le faire arrêter et le bannir. Le corbeau venait de [FromFrom.GetTitledFirstName], qui essaye sans aucun doute d'inciter à des révoltes contre moi pour m'affaiblir. ;;;[From.GetTitledFirstName] me ha hablado de una carta que contiene pruebas falsas acusándome de conspirar contra él para detenerlo y desterrarlo. El cuervo venía de [FromFrom.GetTitledFirstName], que intenta sin lugar a dudas incitar revueltas contra mi para debilitarme.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.33;The loyalty of [From.GetTitledFirstName] shall not go unrewarded;La loyauté de [From.GetTitledFirstName] sera récompensé;;;La lealtad de [From.GetTitledFirstName] será recompensada;;;;;;;;;x
EVTDESCplot_events_CK2plus.34;My co-conspirators have fabricated evidence that [Root.PlotTarget.GetTitledFirstName] is planning a revolt against [Root.PlotTarget.Liege.GetHerHis] liege. The evidence will discreetly find its way into the hands of [Root.PlotTarget.Liege.GetTitledFirstName], who cannot fail to act on it.;"Mes co-conspirateurs ont fabriqué un document prouvant que [Root.PlotTarget.GetTitledFirstName] projette de se révolter contre son suzerain. La ""preuve"" va trouver son chemin jusqu'à [Root.PlotTarget.Liege.GetTitledFirstName], qui ne manquera pas d'agir en conséquence. ";;;"Mis cómplices han fabricado un documento que prueba que [Root.PlotTarget.GetTitledFirstName] planea rebelarse contra su Señor. La ""prueba"" seguirá su camino hacia [Root.PlotTarget.Liege.GetTitledFirstName], que actuará en consecuencia.";;;;;;;;;x
EVTOPTAplot_events_CK2plus.34;I will see [Root.PlotTarget.Liege.GetTitledFirstName] disgraced!;Je vais enfin assister à la disgrâce de [Root.PlotTarget.Liege.GetTitledFirstName] !;;;Seré testigo de la desgracia de [Root.PlotTarget.Liege.GetTitledFirstName]!;;;;;;;;;x
EVTOPTBplot_events_CK2plus.34;Wait for a better opportunity;Attendre une meilleure occasion;;;Esperar una mejor ocasión;;;;;;;;;x
EVTDESCplot_events_CK2plus.35;Word has reached me that [Root.Liege.GetTitledFirstName] has publicly accused me of treason based on evidence found in some documents that were slipped under [Root.Liege.GetHerHis] bedroom door.;Je viens d'apprendre que [Root.Liege.GetTitledFirstName] m'a publiquement accusé de trahison, se basant sur une preuve trouvée dans des documents glissés sous la porte de ses appartements.;;;Acabo de enterarme que [Root.Liege.GetTitledFirstName] me ha acusado públicamente de traición, basándose en una prueba encontrada en un documento dejado en sus aposentos.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.35;This must be a scheme to see me arrested!;C'est sûrement un complot pour me faire arrêter;;;Parece ser un complot para que me detengan.;;;;;;;;;x
EVTDESCplot_events_CK2plus.36;[From.Liege.GetTitledFirstName] was completely fooled by the fabricated evidence of [From.GetTitledFirstName]'s treason. It can only be a matter of time before [From.GetSheHe] is arrested.;[From.Liege.GetTitledFirstName] a été complètement dupé par la fausse preuve de la trahison de [From.GetTitledFirstName]. Ce n'est plus qu'une question de temps avant qu'[From.GetSheHe] ne soit arrêté(e).;;;[From.Liege.GetTitledFirstName] ha sido completamente engañado por la prueba falsa de traición de [From.GetTitledFirstName]. No es más que cuestión de tiempo que le detengan.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.36;Excellent!;Excellent !;;;Excelente!;;;;;;;;;x
EVTDESCplot_events_CK2plus.37;As I rose from bed, I found a small bundle of documents that had been slipped beneath my bedroom door. The documents contained evidence of [From.GetTitledFirstName]'s plans to depose me and seize the throne.;Au saut du lit, j'ai trouvé une petite liasse de documents qui avait été glissée sous la porte de mes appartements. Les documents contenaient la preuve d'un complot de [From.GetTitledFirstName] pour me déposer et s'accaparer le trône. ;;;Enfrente de la cama, encontré una pequeña carpeta con documentos que habían deslizado por debajo de la puerta de mis aposentos. Los documentos contenían la prueba de un complot de [From.GetTitledFirstName] para deponerme y hacerse con el trono.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.37;I must have [From.GetHerHim] arrested!;Je veux le voir arrêté !;;;Quiero verlo arrestado!;;;;;;;;;x
EVTDESCplot_events_CK2plus.38;[From.Liege.GetTitledFirstName] refused to believe the fabricated evidence of [From.GetTitledFirstName]'s treason. Although the scheme has failed, at least there is no evidence of my involvement.;"Quelqu'un a tenté de me faire arrêter pour trahison en glissant des ""preuves"" sous la porte des appartements de [Root.Liege.GetTitledFirstName], mais heureusement [Root.Liege.GetSheHe] n'a pas cru ces mensonges. ";;;[From.Liege.GetTitledFirstName] no se creyó la prueba falsa de la traición de [From.GetTitledFirstName]. A pesar de que el plan ha fracasado, no hay ninguna prueba de mi implicación.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.38;It could have been worse...;Je me demande qui a bien pu envoyer ces documents.;;;Podría haber sido peor...;;;;;;;;;x
EVTDESCplot_events_CK2plus.39;Someone tried to have me arrested for treason by slipping fabricated 'evidence' under [Root.Liege.GetTitledFirstName]'s bedroom door, but fortunately [Root.Liege.GetSheHe] did not believe in the lies presented to [Root.Liege.GetHerHim].;[From.Liege.GetTitledFirstName] a refusé de croire la fausse preuve de la trahison de [From.GetTitledFirstName]. Bien que le plan ait échoué, il n'y a aucune preuve quant à mon implication.;;;"Alguien ha intentado que me arresten por traición deslizando ""pruebas"" por debajo de la puerta de los aposentos de [Root.Liege.GetTitledFirstName], pero afortunadamente, no ha creído semejantes mentiras.";;;;;;;;;x
EVTOPTAplot_events_CK2plus.39;I wonder who sent it...;Cela aurait pu être pire…;;;Me pregunto quien pudo enviar esos documentos.;;;;;;;;;x
EVTDESCplot_events_CK2plus.40;As I rose from bed, I found a small bundle of documents that had been slipped beneath my bedroom door. The documents contained evidence of [From.GetTitledFirstName]'s plans to depose me and seize the throne.;Au saut du lit, j'ai trouvé une petite liasse de documents qui avait été glissée sous la porte de mes appartements. Les documents contenaient la preuve d'un complot de [From.GetTitledFirstName] pour me déposer et s'accaparer le trône. ;;;Enfrente de la cama, encontré una pequeña carpeta con documentos que habían deslizado por debajo de la puerta de mis aposentos. Los documentos contenían la prueba de un complot de [From.GetTitledFirstName] para deponerme y hacerse con el trono.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.40;Nothing but lies and slander;Rien que des mensonges et des calmonies. ;;;Nada más que mentiras y calumnias.;;;;;;;;;x
EVTDESCplot_events_CK2plus.41;[From.GetTitledFirstName] tried to have me arrested for treason by slipping fabricated 'evidence' under [Root.Liege.GetTitledFirstName]'s bedroom door, but fortunately [Root.Liege.GetSheHe] caught [From.GetHerHis] agent in the act and now it is [From.GetTitledFirstName] that stands accused of treason.;"[From.GetTitledFirstName] a tenté de me faire arrêter pour trahison en glissant des ""preuves"" sous la porte des appartements de [Root.Liege.GetTitledFirstName], mais heureusement [Root.Liege.GetSheHe] a attrapé son agent en flagrant délit et c'est maintenant [From.GetTitledFirstName] qui est accusé de trahison. ";;;"[From.GetTitledFirstName] ha intentado que me arresten por traición deslizando ""pruebas"" por debajo de la puerta de los aposentos de [Root.Liege.GetTitledFirstName], pero afortunadamente, atraparon a su agente con las manos en la masa y ha sido [From.GetTitledFirstName] quien ha sido acusado de traición";;;;;;;;;x
EVTOPTAplot_events_CK2plus.41;The bastard!;Vil bâtard !;;;Vil bastardo!;;;;;;;;;x
EVTDESCplot_events_CK2plus.42;My agent was caught in the act of slipping the fabricated evidence under [From.Liege.GetTitledFirstName]'s bedroom door. Even worse, my involvement was revealed during questioning and now I am the one that stands accused of treason.;Mon agent a été attrapé en flagrant délit alors qu'il glissait la fausse preuve sous la porte des appartements de [From.Liege.GetTitledFirstName]. Pire encore, mon implication dans l'affaire a été révélée durant l'interrogatoire et c'est désormais moi qui suis accusé de trahison. ;;;Mi agente fue atrapado con las manos en la masa mientras deslizaba la prueba falsa por debajo de la puerta de los aposentos de [From.Liege.GetTitledFirstName]. Peor aún, mi implicación en este asunto fue revelada durante el interrogatorio y ahora es a mí al que se le acusa de traición.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.42;This is bad!;Voilà qui est mauvais !;;;Que mal!;;;;;;;;;x
EVTDESCplot_events_CK2plus.43;As I was preparing for sleep, I heard a scuffle from outside my bedroom door. Rushing outside, I found that my guards had seized a cloaked man as he was attempting to slip some documents into the room. Under questioning, he revealed that he was working for [FromFrom.GetTitledFirstName] and that the documents were fabricated evidence intended to turn me against my vassal [From.GetTitledFirstName].;Alors que j'allais me coucher, j'ai entendu du bruit provenant de derrière la porte de mes appartements. Sortant dans le couloir, j'ai découvert que mes gardes avaient appréhendé un homme encapuchonné alors qu'il tentait de glisser quelques documents dans ma chambre. Sous la question, il a avoué qu'il travaillait pour [FromFrom.GetTitledFirstName] et que les documents étaient de fausses preuves ayant pour but d'accuser mon vassal [From.GetTitledFirstName].;;;Cuando me iba dormir, escuché un ruido proviniente de detrás de la puerta de mis aposentos. Al salir al pasillo, descubrí que mis guardias habían detenido a un hombre encapuchado mientras intentaba deslizar algunos documentos por debajo de mi puerta. En el interrogatorio, reveló que trabajaba para [FromFrom.GetTitledFirstName] y que los documentos eran pruebas falsas con el objetivo de acusar a mi vasallo [From.GetTitledFirstName].;;;;;;;;;x
repay_loan_50;Repay Loan;Rembourser un prêt;Darlehen zurückzahlen;;Liquidar un préstamo;;;;;;;;;x
repay_loan_50_desc;Repay the full amount of the loan you have taken.;Rembourser la totalité de la somme que vous avez empruntée;Rückzahlung des gesamten Darlehens, das Sie genommen haben.;;Reembolsar la totalidad de la suma del préstamo;;;;;;;;;x
repay_loan_100;Repay Loan;Rembourser un prêt;Darlehen zurückzahlen;;Liquidar un préstamo;;;;;;;;;x
repay_loan_100_desc;Repay the full amount of the loan you have taken.;Rembourser la totalité de la somme que vous avez empruntée;Rückzahlung des gesamten Darlehens, das Sie genommen haben.;;Reembolsar la totalidad de la suma del préstamo;;;;;;;;;x
repay_loan_200;Repay Loan;Rembourser un prêt;Darlehen zurückzahlen;;Liquidar un préstamo;;;;;;;;;x
repay_loan_200_desc;Repay the full amount of the loan you have taken.;Rembourser la totalité de la somme que vous avez empruntée;Rückzahlung des gesamten Darlehens, das Sie genommen haben.;;Reembolsar la totalidad de la suma del préstamo;;;;;;;;;x
repay_loan_400;Repay Loan;Rembourser un prêt;Darlehen zurückzahlen;;Liquidar un préstamo;;;;;;;;;x
repay_loan_400_desc;Repay the full amount of the loan you have taken.;Rembourser la totalité de la somme que vous avez empruntée;Rückzahlung des gesamten Darlehens, das Sie genommen haben.;;Reembolsar la totalidad de la suma del préstamo;;;;;;;;;x
repay_loan_600;Repay Loan;Rembourser un prêt;Darlehen zurückzahlen;;Liquidar un préstamo;;;;;;;;;x
repay_loan_600_desc;Repay the full amount of the loan you have taken.;Rembourser la totalité de la somme que vous avez empruntée;Rückzahlung des gesamten Darlehens, das Sie genommen haben.;;Reembolsar la totalidad de la suma del préstamo;;;;;;;;;x
repay_loan_800;Repay Loan;Rembourser un prêt;Darlehen zurückzahlen;;Liquidar un préstamo;;;;;;;;;x
repay_loan_800_desc;Repay the full amount of the loan you have taken.;Rembourser la totalité de la somme que vous avez empruntée;Rückzahlung des gesamten Darlehens, das Sie genommen haben.;;Reembolsar la totalidad de la suma del préstamo;;;;;;;;;x
repay_loan_1000;Repay Loan;Rembourser un prêt;Darlehen zurückzahlen;;Liquidar un préstamo;;;;;;;;;x
repay_loan_1000_desc;Repay the full amount of the loan you have taken.;Rembourser la totalité de la somme que vous avez empruntée;Rückzahlung des gesamten Darlehens, das Sie genommen haben.;;Reembolsar la totalidad de la suma del préstamo;;;;;;;;;x
EVTDESC64200;I have grown increasingly attached to [Root.Spouse.GetFirstName], and though our marriage was merely a practical arrangement I wonder if I have now come to love [Root.Spouse.GetHerHim].;Je suis de plus en plus attaché(e) à [Root.Spouse.GetFirstName], et quoique notre mariage n'ait été qu'un arrangement pratique, je me demande si je n'en suis pas venu(e) à l’aimer sincèrement.;Ich fühle mich immer mehr zu [Root.Spouse.GetFirstName] hingezogen, und das obwohl unsere Ehre eher zweckmäßig war bisher. Ich frage mich ob ich Liebe gegenüber [Root.Spouse.GetHerHim] empfinde.;;Estoy cada vez más apegado a [Root.Spouse.GetFirstName], y aunque nuestro matrimonio fue un arreglo práctico, me pregunto si no estoy empezando a sentir amor verdadero.;;;;;;;;;x
EVTOPTA64200;This is a marriage of love;C'est un mariage d'amour;Das ist eine Ehe der Liebe;;Es un matrimonio de amor;;;;;;;;;x
EVTOPTB64200;But all the other girls!;Mais toutes les autres filles...!;Aber all die anderen Mädchen!;;Pero todas las demás mujeres...!;;;;;;;;;x
EVTOPTC64200;But all the other boys!;Mais tous les autres garçons...!;Aber all die anderen Jungen!;;Pero todos los demás hombres...!;;;;;;;;;x
EVTOPTD64200;I am not ready to commit fully to [Root.Spouse.GetHerHim];Je ne suis pas prêt(e) à m'engager complètement avec [Root.Spouse.GetFirstName].;Ich bin dazu nicht bereit mich völlig mit [Root.Spouse.GetHerHim] zu binden.;;No estoy preparado para comprometerme del todo con [Root.Spouse.GetFirstName].;;;;;;;;;x
executed_kin;Executed Kinsman;A exécuté un parent;;;Ejecutó a un pariente;;;;;;;;;x
attempted_murder_of_close_kin;Attempted Murder of Kinsman;A tenté de tué un parent;;;Intentó matar a un pariente;;;;;;;;;x
attempted_murder_of_spouse;Attempted Murder of Spouse;A tenté de tué ma(on) épouse(oux);;;Intentó matar a mi cónyuge;;;;;;;;;x
killed_vassal;Killed my Bannermen;A tué mes bannerets;;;Mató a mi vasallo;;;;;;;;;x
EVTDESCdishonorable.2;Being known as a dishonorable murderer is causing me severe mentral stress. Can I really live with what I've done?;Être considéré comme un meurtrier sans honneur me cause un sévère stress. Puis-je réellement vivre avec ce que j'ai fait ? ;Weil bekannt wurde das Ich ein unehrenhafter Mörder bin habe ich Mentale Probleme. Kann ich wirklich damit leben, was ich getan habe?;;Ser considerado un asesino sin honor me causa un severo estrés. Podré vivir con lo qué hice? ;;;;;;;;;x
EVTOPTAdishonorable.2;The guilt weighs heavily on me;La culpabilité pèse lourdement sur mes épaules;Die Schuld lastet schwer auf mir;;La culpa pesa sobre mis hombros;;;;;;;;;x
EVTOPTBdishonorable.2;I'm handling it just fine;Je me remets, tout va bien ;Ich mache mich ganz gut;;Lo estoy llevando bien;;;;;;;;;x
EVTOPTCdishonorable.2;The guilt weighs heavily on me;La culpabilité pèse lourdement sur mes épaules;Die Schuld lastet schwer auf mir;;La culpa pesa sobre mis hombros;;;;;;;;;x
EVTOPTDdishonorable.2;I have no regrets;Je n'ai aucun regrets;Ich hege keine Reue;;No me arrepiento;;;;;;;;;x
EVTDESCdishonorable.3;I was listening in on my courtiers' conversation when I heard one of them call me a murderer. They are clearly working with my enemies!;J'écoutais discrètement la conversation de mes courtisans lorsque j'ai entendu l'un d'eux me désigner comme un meurtrier. Il est clair qu'il travaillent pour mes ennemis ! ;Ich hörte in einem Gespräch meiner Höflinge, das mich einer einen Mörder nannte. Sie arbeiten klar mit meinen Feinden!;;Escuchaba discretamente la conversación de mis cortesanos cuando escuché a uno de ellos llamarme asesino. Está claro que trabaja para mis enemigos! ;;;;;;;;;x
EVTOPTAdishonorable.3;They must die! They must all die!;Ils doivent mourir ! Ils doivent tous mourir ! ;Sie müssen sterben, alle müssen sie sterben !;;Deben morir! Todos deben morir! ;;;;;;;;;x
CUSTOMTOOLTIP33;The plot succeeds;Le complot a réussi;The plot succeeds;;El complot ha sido un éxito;;;;;;;;;x
CUSTOMTOOLTIP34;The plot fails, but is not discovered;Le complot a échoué, mais n'a pas été découvert;The plot fails, but is not discovered;;El complot ha fracasado pero no ha sido descubierto;;;;;;;;;x
CUSTOMTOOLTIP35;The plot fails and is discovered;Le complot a échoué et a été découvert;The plot fails and is discovered;;El complot ha fracasado y ha sido descubierto;;;;;;;;;x
kidnapped_me;Kidnapped Me;M'a kidnappé;;;Me ha secuestrado;;;;;;;;;x
CUSTOMTOOLTIP32;[From.GetTitledFirstName] provokes [This.GetTitledName] to rebel against [This.Liege.GetTitledFirstName]\n;[From.GetTitledFirstName] a poussé [This.GetTitledName] à se rebeller contre [This.Liege.GetTitledFirstName]\n;;;[From.GetTitledFirstName] ha provocado a [This.GetTitledName] para rebelarse contra [This.Liege.GetTitledFirstName]\n;;;;;;;;;x
plot_fabricate_treason_liege_title;Fabricate Evidence of [This.GetTitledFirstName]'s Treason;Fabriquer des preuves de la trahison de [This.GetTitledFirstName];Fabricate Evidence of [This.GetTitledFirstName]'s Treason;;Fabricar pruebas de la traición de [This.GetTitledFirstName];;;;;;;;;x
plot_fabricate_treason_liege_desc;[From.GetTitledFirstName] wants to convince the realm that [This.GetTitledFirstName] is a traitor.;[From.GetTitledFirstName] veut convaincre le royaume que [This.GetTitledFirstName] est un traitre.;[From.GetTitledFirstName] wants to convince the realm that [This.GetTitledFirstName] is a traitor.;;[From.GetTitledFirstName] quiere convencer al reino que [This.GetTitledFirstName] es un traidor.;;;;;;;;;x
opinion_spurned_CK2+;Spurned;Econduit;;;Despreciado;;;;;;;;;x
TOOLTIP190045;Your court will become curious about your relationship.;Votre cour va devenir curieuse à propos de votre relation.;;;Tu corte sentirá curiosidad acerca de tu relación.;;;;;;;;;x
EVTDESC190045;Whilst going about the business of your realm, you have often overheard your courtiers gossiping about your relationship with [Root.Spouse.GetFirstName]. They know it is not one of love and is merely a marriage of convenience, but many question why you don't pursue other companions of the opposite sex...;Tandis que vous vous occupez des affaires de vos états, vous entendez souvent vos courtisans palabrer à propos de votre relation avec [Root.Spouse.GetFirstName]. Ils savent qu'il ne s'agit pas d'amour mais d'un mariage de convenance, mais beaucoup s'interrogent sur la raison pour laquelle vous ne cherchez pas d'autres personnes du sexe opposé... ;;;Mientras te ocupas de los asuntos de tus dominios, escuchas cuchichear a los cortesanos sobre tu relación con [Root.Spouse.GetFirstName]. Saben que no se trata de amor, si no de un matrimonio de conveniencia, pero se preguntan la razón por la cual no buscas otras personas del sexo opuesto...;;;;;;;;;x
EVTOPTA190045;I don't have time, I have my ambitions!;Je n'ai pas le temps, je poursuis d'autres buts plus importants !;;;No tengo tiempo, persigo otros objetivos más importantes!;;;;;;;;;x
EVTOPTB190045;Lately I find men far more...interesting;Ces derniers temps je trouve les hommes… bien plus intéressants.;;;Últimamente encuentro a los hombres...muy interesantes.;;;;;;;;;x
EVTOPTD190045;Lately I find women far more...interesting;Ces derniers temps je trouve les femmes… bien plus intéressantes.;;;Últimamente encuentro a las mujeres...muy interesantes.;;;;;;;;;x
EVTOPTC190045;I am married to the sword;Je suis marié à mon épée.;;;Estoy casado con mi espada.;;;;;;;;;x
