#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTBred_priest.3;I am not bothered;Je ne suis pas dérangé;;;No estoy preocupado;;;;;;;;;x
EVTOPTBred_priest.7;Counter it with [Root.GetValyrianSwordOwned]!;Le contrer avec [Root.GetValyrianSwordOwned] !;;;;;;;;;;;;x
TOOLTIPred_priest.10;You slay the shadow;Vous avez terrassé l’ombre;;;;;;;;;;;;x
EVTDESCred_priest.8;Vile sorcery! I was going about my business when a malevolent shadow assaulted me! This treachery has all the hallmarks of [From.GetFirstNameWithDynasty]'s work, for the shadow resembles [From.GetherHis] form!;Vile sorcellerie ! J'étais occupé à mes affaires lorsqu'une ombre malveillante s'est jetée sur moi et a pris ma vie ! Cette trahison porte la marque de [From.GetFirstNameWithDynasty].;;;¡Vil Hechicería! ¡Estaba con mis asuntos cuando una sombra maléfica me asaltó y tomó mi vida! Esta traición tiene todas las características de ser un trabajo de [From.GetFirstNameWithDynasty].;;;;;;;;;x
EVTOPTAred_priest.8;That villain!;Le scélérat !;;;¡Ese villano!;;;;;;;;;x
EVTDESCred_priest.9;The sorcery was discovered! The shadow birthed by [shadowbinder_target.GetTitledFirstName] successfully killed [From.GetTitledFirstName], but many witnesses saw that it had your form!;La sorcellerie a été découverte !;;;¡La hechicería ha sido descubierta!;;;;;;;;;x
EVTDESCred_priest.9B;The sorcery was discovered! The shadow birthed by [shadowbinder_target.GetTitledFirstName] failed to kill [From.GetTitledFirstName], who slayed it with [From.GetValyrianSwordHerHis]. [From.GetSheHeCap] and other witnesses saw that the shadow had your likeness!;La sorcellerie a été découverte !;;;¡La hechicería ha sido descubierta!;;;;;;;;;x
EVTOPTAred_priest.9;The shame...;Quelle honte…;;;La vergüenza ...;;;;;;;;;x
red_priest;Red Priest;Prêtre Rouge;;;Sacerdote Rojo;;;;;;;;;x
red_priest_desc;Clergy of the R'hllor religion are called 'Red Priests', due to the loose, crimson robes they wear.;Les membres du Clergé de la religion de R'hllor sont appelés 'Prêtres Rouges' en référence aux robes rouges qu'ils portent.;;;El clero de la religión de R'hllor se llaman 'Sacerdotes Rojos', debido a las túnicas carmesí que visten.;;;;;;;;;x
TOOLTIPCONVERTTORHLLOR;[Root.GetFirstNameWithDynasty] will covert to R'hllor;[Root.GetFirstNameWithDynasty] va se convertir à R'hllor;;;[Root.GetFirstNameWithDynasty] se convertirá a R'hllor;;;;;;;;;x
EVTDESCred_priest.10;Almost without thinking, you quickly grab [Root.GetValyrianSwordOwned] and plunge it into the shadow. It screams a most terrible scream and dissolves into thin air.;Votre complot pour [Root.GetPlot] a réussi mais n'a eu aucun effet. Vos espions rapportent qu'[From.GetHeShe] a été sauvé(e) par un sacrifice qu'[From.GetHeShe] a fait(e) au Maître de la Lumière. ;;;;;;;;;;;;x
EVTOPTAred_priest.10;Thank [Root.Religion.GetHighGodName]!;C'est impossible !;;;;;;;;;;;;x
EVTDESCred_priest.11;The shadow birthed by [shadowbinder_target.GetTitledFirstName] failed to kill [From.GetTitledFirstName], who slayed it with [From.GetValyrianSwordHerHis]. Fortunately [From.GetSheHe] has no clue who sent the assassin.;J'ai été béni par [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ce qui m'a protégé des complots tramés contre moi. Se pourrait-il que le Maître de la Lumière existe ?;;;;;;;;;;;;x
EVTOPTAred_priest.11;[From.GetValyrianSword] is a counter for [shadowbinder_target.GetTitledFirstName]'s magic it seems!;Je vais reconnaître le Maître de la Lumière comme l'unique et véritable dieu.;;;;;;;;;;;;x
